product_id,tags,tag_id
1,potato,1
1,seasonings,2
1,stir-fried,3
1,korean,4
1,beef,5
1,pork,6
2,rounds,7
2,bites,8
2,grated,9
2,small,10
2,golden,11
2,into,12
3,pepperoni,13
3,pastries,14
3,fillings,15
4,luxurious,16
4,liver,17
4,terrine,18
4,delicacy,19
4,pâté,20
5,indonesia,21
5,yellow,22
5,stir-fried,23
5,sauces,24
5,noodle,25
5,spicy,26
6,serve,27
6,pre-cooked,28
6,pancakes,29
6,heat,30
6,syrup,31
6,butter,32
7,head,33
7,brew,34
7,foamy,35
7,infused,36
7,nitrogen,37
8,marinated,38
8,eastern,39
8,middle,40
8,rotisserie,41
8,vertical,42
8,flatbread,43
9,lemonade,44
9,summer,45
9,pink-hued,46
9,perfect,47
9,fruity,48
10,fresh,49
10,croissants,50
10,unbaked,51
10,baked,52
11,sausage,53
11,ready,54
11,links,55
11,breakfast,56
12,india,57
12,teas',58
12,delicate,59
12,muscatel,60
12,'champagne,61
13,seafood,62
13,italian,63
13,cooked,64
13,creamy,65
14,smoky,66
14,served,67
14,appetizer,68
15,dish,69
15,béchamel,70
15,layered,71
15,perfection,72
15,italian,73
16,scrambled,74
16,combined,75
16,meal,76
16,meat,77
17,asia,78
17,southeast,79
17,rice,80
17,rich,81
17,coconut,82
18,indulgent,83
18,snack,84
18,melted,85
19,casserole,86
19,dessert,87
19,cottage,88
20,carrots,89
20,corn,90
20,variety,91
20,peas,92
20,spinach,93
21,used,94
21,sushi,95
21,make,96
21,vinegared,97
21,sashimi,98
21,paired,99
22,lunch,100
22,sandwich,101
22,option,102
23,deep,103
23,improves,104
23,flavor,105
23,enjoyed,106
23,earthy,107
24,herbs,108
24,marinated,109
24,basmati,110
24,lamb,111
24,fragrant,112
24,south,113
25,hibiscus,114
25,vibrant,115
25,vitamin,116
25,content,117
25,tart,118
26,vegetables,119
26,bowls,120
26,meal,121
26,beans,122
27,marinated,123
27,greek,124
27,served,125
27,bread,126
27,tzatziki,127
27,chicken,128
28,powdered,129
28,whisked,130
28,full,131
28,japan,132
28,water,133
28,earthy,134
29,soups,135
29,quick,136
29,noodle,137
29,vegetable,138
29,tomato,139
30,chinese,140
30,often,141
30,crispy,142
31,flaky,143
31,encased,144
31,tender,145
32,almond,146
32,flat,147
32,sweet,148
33,crispy,149
33,until,150
33,their,151
33,greens,152
33,duck,153
33,legs,154
34,ground,155
34,small,156
34,cups,157
35,soy-based,158
35,stir-fry,159
35,tossed,160
35,savory,161
35,sauce,162
35,chinese,163
36,shots,164
36,european,165
36,instead,166
36,whipped,167
36,milk,168
37,legs,169
37,potatoes,170
37,pasta,171
37,tomato,172
38,spaghetti,173
38,other,174
38,pancetta,175
38,pepper,176
38,savory,177
39,equal,178
39,italian,179
39,parts,180
40,shrimp,181
40,cooked,182
40,pork,183
40,popular,184
41,garlic,185
41,thyme,186
41,rosemary,187
41,olives,188
42,pork,189
42,wheat,190
42,boiled,191
42,broth,192
43,texture,193
43,potato,194
43,when,195
43,pre-cut,196
44,pastas,197
44,preserve,198
44,stir-fries,199
44,shrimp,200
44,freshness,201
44,salads,202
45,shapes,203
45,side,204
45,formed,205
46,ranch,206
46,blue,207
46,buffalo,208
47,drip,209
47,shot,210
47,strength,211
47,coffee,212
47,water,213
48,deep-fried,214
48,batter,215
48,dogs,216
48,cornmeal,217
48,easy,218
48,coated,219
49,baked,220
49,coated,221
49,flavorful,222
50,tomatoes,223
50,meat-based,224
50,pasta,225
50,beef,226
50,topped,227
51,indonesian,228
51,flavorful,229
51,manis,230
51,sweet,231
51,sambal,232
52,treat,233
52,fresh,234
